Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Thiruchitrambalam,7.9,Mithran Jawahar,Mithran Jawahar,82.0,2022,India,Tamil,5342111.0,2 hours 11 minutes
Orphée,7.9,Jean Cocteau,Jean Cocteau,82.0,1950,France,French,43024.0,1 hour 52 minutes
Madame de...,7.9,Max Ophüls,"Louise de Vilmorin, Marcel Achard, Max Ophüls",82.0,1953,"France, Italy","French, Turkish",135636.0,1 hour 45 minutes
The Little Foxes,7.9,William Wyler,"Lillian Hellman, Arthur Kober, Dorothy Parker",82.0,1941,United States,English,26748.5,1 hour 56 minutes
Random Harvest,7.9,Mervyn LeRoy,"Claudine West, George Froeschel, Arthur Wimperis",62.0,1943,United States,English,36089.0,2 hours 6 minutes
Avaze gonjeshk-ha,7.9,Majid Majidi,"Mehran Kashani, Majid Majidi",74.0,2008,Iran,"Persian, Azerbaijani",220360.0,1 hour 36 minutes
Mukundan Unni Associates,7.9,Abhinav Sunder Nayak,"Vimal Gopalakrishnan, Abhinav Sunder Nayak",82.0,2022,India,Malayalam,44990.0,2 hours 8 minutes
Eteros Ego,7.9,Sotiris Tsafoulias,"Pigmalion Dadakaridis, Katerina Filiotou, Tefkros Mihailidis",82.0,2017,Greece,"Greek, French",371528.0,1 hour 41 minutes
Trouble in Paradise,7.9,Ernst Lubitsch,"Samson Raphaelson, Grover Jones, Aladár László",82.0,1932,United States,"English, Italian, French, Russian, Spanish, German",345.0,1 hour 23 minutes
Super 30,7.9,Vikas Bahl,Sanjeev Dutta,82.0,2019,India,Hindi,24701637.0,2 hours 34 minutes
Zendegi va digar hich,7.9,Abbas Kiarostami,Abbas Kiarostami,82.0,1992,Iran,Persian,10555619.0,1 hour 35 minutes
Sevmek Zamani,7.9,Metin Erksan,Metin Erksan,82.0,2023,Turkey,Turkish,4609670.5,1 hour 26 minutes
Marketa Lazarová,7.9,Frantisek Vlácil,"Frantisek Pavlícek, Vladislav Vancura, Frantisek Vlácil",82.0,1967,Czechoslovakia,"Czech, German",33122.0,2 hours 42 minutes
Burden of Dreams,7.9,Les Blank,Michael Goodwin,77.0,1982,"United States, West Germany","English, Spanish, German, Portuguese",20630135.0,1 hour 35 minutes
Anjaam Pathiraa,7.9,Midhun Manuel Thomas,"Midhun Manuel Thomas, Rajendra Sapre",82.0,2020,India,Malayalam,1106211.0,2 hours 24 minutes
Das Testament des Dr. Mabuse,7.9,Fritz Lang,"Norbert Jacques, Fritz Lang, René Sti",82.0,1961,"Germany, France","German, French",27690.0,2 hours 2 minutes
Dai-bosatsu tôge,7.9,Kihachi Okamoto,"Shinobu Hashimoto, Kaizan Nakazato",82.0,1966,Japan,Japanese,32260.5,2 hours
Dont Look Back,7.9,D.A. Pennebaker,D.A. Pennebaker,84.0,1968,United States,English,18762.0,1 hour 36 minutes
The Last Days,7.9,James Moll,"Bill Basch, Martin Basch, Randolph Braham",85.0,1999,United States,"English, German, Hungarian",421432.0,1 hour 27 minutes
West of Memphis,7.9,Amy Berg,"Amy Berg, Billy McMillin",80.0,2012,"New Zealand, United States",English,318317.0,2 hours 27 minutes
Floating Weeds,7.9,Yasujirô Ozu,"Yasujirô Ozu, Kôgo Noda, Tadao Ikeda",82.0,1959,Japan,Japanese,134241.0,1 hour 59 minutes
I soliti ignoti,7.9,Mario Monicelli,"Agenore Incrocci, Furio Scarpelli, Suso Cecchi D'Amico",82.0,1958,Italy,Italian,17413.0,1 hour 46 minutes
The Trap,7.9,Srdan Golubovic,"Srdan Golubovic, Melina Pota Koljevic, Srdjan Koljevic",82.0,2007,"Serbia, Germany, Hungary","Serbian, English",276664.0,1 hour 46 minutes
Captains Courageous,7.9,Victor Fleming,"Rudyard Kipling, John Lee Mahin, Marc Connelly",81.0,1937,United States,"English, Portuguese",8835.0,1 hour 57 minutes
Ugly,7.9,Anurag Kashyap,"Akhilesh Jaiswal, Anurag Kashyap, Rohit Pandey",82.0,2014,India,Hindi,10769798.0,2 hours 8 minutes
Dev.D,7.9,Anurag Kashyap,"Sarat Chandra Chattopadhyay, Abhay Deol, Vikramaditya Motwane",82.0,2009,India,Hindi,4047969.0,2 hours 24 minutes
Marley,7.9,Kevin Macdonald,"Bob Marley, Ziggy Marley, Rita Marley",82.0,2012,"United Kingdom, United States","English, French, German",3842919.0,2 hours 24 minutes
Ivy,7.9,Tolga Karaçelik,Tolga Karaçelik,82.0,2015,"Turkey, Germany",Turkish,78862.0,1 hour 44 minutes
Gaav,7.9,Dariush Mehrjui,"Dariush Mehrjui, Gholam-Hossein Saedi",82.0,1969,Iran,Persian,150536.0,1 hour 44 minutes
Trilogy: The Weeping Meadow,7.9,Theodoros Angelopoulos,"Theodoros Angelopoulos, Tonino Guerra, Petros Markaris",73.0,2004,"Greece, France, Italy, Germany",Greek,64424.0,2 hours 50 minutes
Love on a Leash,7.9,Fen Tian,Fen Tian,82.0,2011,United States,English,5435358.0,1 hour 30 minutes
Johnny Gaddaar,7.9,Sriram Raghavan,"Vinay Choudary, Sriram Raghavan, Atul Taishete",82.0,2007,India,Hindi,1109943.0,2 hours 15 minutes
Sonchiriya,7.9,Abhishek Chaubey,"Sudip Sharma, Abhishek Chaubey",82.0,2019,India,Hindi,914565.0,2 hours 23 minutes
Tower,7.9,Keith Maitland,Pamela Colloff,92.0,2017,United States,English,101987.0,1 hour 22 minutes
Kanal,7.9,Andrzej Wajda,Jerzy Stefan Stawinski,82.0,1957,Poland,"Polish, German",32549.0,1 hour 31 minutes
Airlift,7.9,Raja Menon,"Raja Menon, Sonu Sinha, Ritesh Shah",82.0,2016,India,Hindi,9323484.0,2 hours 10 minutes
Amici miei,7.9,Mario Monicelli,"Pietro Germi, Piero De Bernardi, Leonardo Benvenuti",82.0,1975,Italy,Italian,66424.5,2 hours 20 minutes
Tupac: Resurrection,7.9,Lauren Lazin,"Tupac Shakur, Rappin' 4-Tay, Conrad Bain",66.0,2003,United States,English,7808524.0,1 hour 52 minutes
Gemide,7.9,Serdar Akar,"Serdar Akar, Önder Çakar",82.0,1998,Turkey,Turkish,5915511.0,1 hour 42 minutes
Robin Williams: Come Inside My Mind,7.9,Marina Zenovich,"Robin Williams, Mark Rasmussen, Stan Wilson",74.0,2018,United States,English,11382356.5,1 hour 57 minutes
Turab el-Mas,7.9,Marwan Hamed,Ahmed Mourad,82.0,2018,Egypt,Arabic,188228.0,2 hours 42 minutes
Salaam Bombay!,7.9,Mira Nair,"Mira Nair, Sooni Taraporevala, Hriday Lani",78.0,1988,"India, United States, France, United Kingdom","Hindi, English",2080758.0,1 hour 53 minutes
Kin-dza-dza!,7.9,Georgiy Daneliya,"Revaz Gabriadze, Georgiy Daneliya",82.0,1986,Soviet Union,"Georgian, Russian, French, English, German",23902.0,2 hours 15 minutes
Hey Ram,7.9,Kamal Haasan,"H. Banerjee, Kamal Haasan, Manohar Shyam Joshi",82.0,2000,India,"Tamil, Hindi",274675.0,3 hours 6 minutes
The Sound of Trumpets,7.9,Ermanno Olmi,"Ettore Lombardo, Ermanno Olmi",82.0,1962,Italy,Italian,9080.0,1 hour 33 minutes
Monterey Pop,7.9,D.A. Pennebaker,"Otis Redding, Jimi Hendrix, Ravi Shankar",77.0,1969,United States,English,150536.0,1 hour 18 minutes
Nobi,7.9,Kon Ichikawa,"Shohei Ooka, Natto Wada",82.0,1959,Japan,Japanese,134241.0,1 hour 48 minutes
El verdugo,7.9,Luis García Berlanga,"Luis García Berlanga, Rafael Azcona, Ennio Flaiano",82.0,1964,"Spain, Italy",Spanish,119906.5,1 hour 27 minutes
Le peuple migrateur,7.9,"Jacques Perrin, Jacques Cluzaud, Michel Debats","Jacques Perrin, Stéphane Durand, Jean Dorst",82.0,2001,"France, Germany, Switzerland, Spain, Italy","English, French",34128314.0,1 hour 38 minutes
Akibiyori,7.9,Yasujirô Ozu,"Ton Satomi, Kôgo Noda, Yasujirô Ozu",82.0,1960,Japan,Japanese,17781.0,2 hours 8 minutes
Kozure Ôkami: Sanzu no kawa no ubaguruma,7.9,Kenji Misumi,"Kazuo Koike, Goseki Kojima",82.0,1972,Japan,Japanese,12697.5,1 hour 22 minutes
Ko,7.9,K.V. Anand,"K.V. Anand, D. Suresh, A.N. Balakrishnan",82.0,2011,India,Tamil,326238.0,2 hours 8 minutes
Lyubov i golubi,7.9,Vladimir Menshov,Vladimir Gurkin,82.0,1985,Soviet Union,Russian,14241310.0,1 hour 47 minutes
Anvil: The Story of Anvil,7.9,Sacha Gervasi,"Robb Reiner, Steve 'Lips' Kudlow, Tiziana Arrigoni",82.0,2009,Canada,English,951380.0,1 hour 20 minutes
Mera Naam Joker,7.9,Raj Kapoor,"Khwaja Ahmad Abbas, Manoj Kumar",82.0,1970,India,Hindi,56650.5,3 hours 44 minutes
Ayitha Ezhuthu,7.9,Mani Ratnam,"Mani Ratnam, Sujatha",82.0,2004,India,Tamil,10123315.0,2 hours 40 minutes
Bingo: O Rei das Manhãs,7.9,Daniel Rezende,"Luiz Bolognesi, Fabio Meira",82.0,2017,Brazil,"Portuguese, English",899782.0,1 hour 53 minutes
The Devil and Daniel Johnston,7.9,Jeff Feuerzeig,Jeff Feuerzeig,77.0,2006,United States,English,432339.0,1 hour 50 minutes
Shams Al-Ma'arif,7.9,Faris Godus,"Faris Godus, Sohayb Godus, Hani Kadour",82.0,2020,Saudi Arabia,Arabic,12005.0,2 hours
Happy Days,7.9,Sekhar Kammula,Sekhar Kammula,82.0,2007,India,Telugu,13801271.5,2 hours 33 minutes
The Big Parade,7.9,"King Vidor, George W. Hill","Laurence Stallings, Harry Behn, Joseph Farnham",82.0,1925,United States,"None, English, French",46439.5,2 hours 31 minutes
Five Broken Cameras,7.9,"Emad Burnat, Guy Davidi",Guy Davidi,78.0,2011,"Occupied Palestinian Territory, Israel, France, Netherlands","Hebrew, Arabic",146475.0,1 hour 34 minutes
Jalsaghar,7.9,Satyajit Ray,"Tarashankar Banerjee, Satyajit Ray, Santi P. Choudhury",82.0,1958,India,"Bengali, English",3247.0,1 hour 40 minutes
Él,7.9,Luis Buñuel,"Luis Buñuel, Luis Alcoriza, Mercedes Pinto",82.0,1953,Mexico,Spanish,22070.0,1 hour 32 minutes
Vishwaroopam,7.9,Kamal Haasan,"H. Banerjee, Kamal Haasan, Atul Tiwari",82.0,2013,India,"Tamil, English, Hindi",791040.0,2 hours 28 minutes
Tina,7.9,"Daniel Lindsay, T.J. Martin","Daniel Lindsay, T.J. Martin",81.0,2021,United States,English,99648.0,1 hour 58 minutes
Karthikeya 2,7.9,Chandoo Mondeti,"Harshavardhana, Manibabu Karanam, Chandoo Mondeti",82.0,2022,India,Telugu,2440029.0,2 hours 30 minutes
Madras,7.9,Pa. Ranjith,Pa. Ranjith,82.0,2014,India,Tamil,10769798.0,2 hours 36 minutes
Munje!,7.9,Radivoje Andric,"Srdja Andjelic, Radivoje Andric",82.0,2001,Federal Republic of Yugoslavia,Serbian,1833.0,1 hour 30 minutes
Mumbai Police,7.9,Rosshan Andrrews,"Bobby, Sanjay",82.0,2013,India,Malayalam,17711333.0,2 hours 25 minutes
The Class,7.9,Ilmar Raag,"Ilmar Raag, Vallo Kirs, Pärt Uusberg",82.0,2007,Estonia,Estonian,7205.0,1 hour 39 minutes
Hazaaron Khwaishein Aisi,7.9,Sudhir Mishra,"Sudhir Mishra, Shivkumar Subramaniam, Ruchi Narain",82.0,2005,"India, France","Hindi, English",8012838.0,2 hours
Velaiilla Pattadhari,7.9,Velraj,Velraj,82.0,2014,India,Tamil,57262.0,2 hours 13 minutes
Pizza,7.9,Karthik Subbaraj,"Prasath Ramar, Karthik Subbaraj",82.0,2012,India,Tamil,9074711.0,2 hours 7 minutes
TT3D: Closer to the Edge,7.9,Richard De Aragues,"Guy Martin, Ian Hutchinson, John McGuinness",76.0,2011,"United Kingdom, Isle of Man",English,3034200.0,1 hour 44 minutes
Ankhon Dekhi,7.9,Rajat Kapoor,Rajat Kapoor,82.0,2014,India,Hindi,151226.0,1 hour 47 minutes
Hamoun,7.9,Dariush Mehrjui,Dariush Mehrjui,82.0,1990,Iran,"Arabic, Japanese, Persian",13057302.0,2 hours
Vettaiyaadu Vilaiyaadu,7.9,Gautham Vasudev Menon,"Dasaradh, Meghana Karthik, Gautham Vasudev Menon",82.0,2006,India,Tamil,7888.0,2 hours 54 minutes
Earth,7.9,"Alastair Fothergill, Mark Linfield","Alastair Fothergill, Mark Linfield, Leslie Megahey",72.0,2007,"United Kingdom, Germany, United States, France",English,108976456.0,1 hour 30 minutes
Otona no miru ehon - Umarete wa mita keredo,7.9,Yasujirô Ozu,"Akira Fushimi, Geibei Ibushiya, Yasujirô Ozu",91.0,1932,Japan,"None, Japanese",3438.5,1 hour 30 minutes
Vabank,7.9,Juliusz Machulski,Juliusz Machulski,82.0,1982,Poland,"German, Polish",20630135.0,1 hour 48 minutes
Die Nibelungen: Kriemhilds Rache,7.9,Fritz Lang,Thea von Harbou,82.0,1924,Germany,German,399.0,2 hours 9 minutes
Microcosmos : le peuple de l'herbe,7.9,"Claude Nuridsany, Marie Pérennou","Claude Nuridsany, Marie Pérennou",87.0,1996,"France, Switzerland, Italy, United Kingdom",French,1433210.0,1 hour 20 minutes
Dor,7.9,Nagesh Kukunoor,"Nagesh Kukunoor, Mir Ali Husain, T.A. Razak",82.0,2006,India,"Hindi, Urdu",517575.0,2 hours 27 minutes
Bill Cunningham New York,7.9,Richard Press,"Bill Cunningham, Anna Wintour, Michael Kors",76.0,2011,United States,"English, French",2007978.0,1 hour 24 minutes
Kushi,7.9,S.J. Suryah,S.J. Suryah,82.0,2000,India,Tamil,8769825.0,2 hours 58 minutes
The House I Live In,7.9,Eugene Jarecki,"Eugene Jarecki, Christopher St. John",77.0,2012,"Netherlands, United Kingdom, Germany, Japan, Australia, United States",English,219159.0,1 hour 38 minutes
Angamaly Diaries,7.9,Lijo Jose Pellissery,Chemban Vinod Jose,82.0,2017,India,Malayalam,661915.0,2 hours 12 minutes
Pappa ante Portas,7.9,"Vicco von Bülow, Renate Westphal-Lorenz",Vicco von Bülow,82.0,1991,Germany,German,3497751.5,1 hour 29 minutes
Svetat e golyam i spasenie debne otvsyakade,7.9,Stephan Komandarev,"Yurii Dachev, Stephan Komandarev, Dusan Milic",82.0,2008,"Bulgaria, Germany, Slovenia, Hungary, Serbia","Bulgarian, German, Italian, Slovenian, English, Hungarian",291275.0,1 hour 45 minutes
Devrim Arabalari,7.9,Tolga Örnek,"Tolga Örnek, Murat Disli",82.0,2008,Turkey,Turkish,1100299.0,2 hours
Border,7.9,J.P. Dutta,"J.P. Dutta, O.P. Dutta",82.0,1997,India,Hindi,2599230.0,2 hours 56 minutes
Friends,7.9,Siddique,"Joseph Vijay, Suriya, Ramesh Khanna",82.0,2001,India,Tamil,8211964.5,2 hours 47 minutes
Manam,7.9,Vikram K. Kumar,"Harshavardhan, Vikram K. Kumar, Mukund Pandey",82.0,2014,India,Telugu,28369.0,2 hours 43 minutes
Tito i ja,7.9,Goran Markovic,Goran Markovic,82.0,1992,Federal Republic of Yugoslavia,Serbian,10555619.0,1 hour 58 minutes
The Class of '92,7.9,"Ben Turner, Gabe Turner","David Beckham, Nicky Butt, Ryan Giggs",82.0,2013,United Kingdom,English,50410.0,1 hour 39 minutes
Kick,7.9,Surender Reddy,"Vakkantham Vamsi, Abburi Ravi, Surender Reddy",82.0,2009,India,Telugu,14695775.0,2 hours 35 minutes
Salak Milyoner,7.9,Ertem Egilmez,Sadik Sendil,82.0,1974,Turkey,Turkish,31452.0,1 hour 24 minutes
Sharkwater,7.9,Rob Stewart,Rob Stewart,59.0,2007,Canada,English,1658393.0,1 hour 29 minutes
The Batman,7.8,Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane",72.0,2022,United States,"English, Spanish, Latin, Italian",772319315.0,2 hours 56 minutes
The Day of the Jackal,7.8,Fred Zinnemann,"Frederick Forsyth, Kenneth Ross",80.0,2017,"United Kingdom, France","English, Italian, French",15697699.0,2 hours 23 minutes
Poor Things,7.8,Yorgos Lanthimos,"Tony McNamara, Alasdair Gray",88.0,2024,"Ireland, United Kingdom, United States, Hungary","English, French, Portuguese",117625455.0,2 hours 21 minutes
The Gentlemen,7.8,Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies",51.0,2020,"United States, United Kingdom","English, Russian, Spanish, Chinese",115175729.0,1 hour 53 minutes
Atonement,7.8,Joe Wright,"Ian McEwan, Christopher Hampton",85.0,2008,"United States, France, United Kingdom","English, French",129266061.0,2 hours 3 minutes
Tombstone,7.8,"George P. Cosmatos, Kevin Jarre",Kevin Jarre,50.0,1993,United States,"English, Latin, Spanish",56505065.0,2 hours 10 minutes
Hidden Figures,7.8,Theodore Melfi,"Allison Schroeder, Theodore Melfi, Margot Lee Shetterly",74.0,2017,United States,English,235957472.0,2 hours 7 minutes
Pride & Prejudice,7.8,Joe Wright,"Deborah Moggach, Jane Austen, Emma Thompson",82.0,2020,"United Kingdom, France, United States",English,121616555.0,2 hours 9 minutes
The Notebook,7.8,Nick Cassavetes,"Jeremy Leven, Jan Sardi, Nicholas Sparks",53.0,2017,United States,English,118537193.0,2 hours 3 minutes
Little Women,7.8,Greta Gerwig,"Greta Gerwig, Louisa May Alcott",91.0,2019,United States,"English, French",218843645.0,2 hours 15 minutes
Get Out,7.8,Jordan Peele,Jordan Peele,85.0,2017,"United States, Japan","English, Swahili",255751443.0,1 hour 44 minutes
Everything Everywhere All at Once,7.8,"Daniel Kwan, Daniel Scheinert","Daniel Kwan, Daniel Scheinert",81.0,2022,United States,"English, Mandarin, Cantonese",143412671.0,2 hours 19 minutes
American Gangster,7.8,Ridley Scott,"Steven Zaillian, Mark Jacobson",76.0,2019,"United States, United Kingdom","English, Thai, Spanish",269755430.0,2 hours 37 minutes
The Hateful Eight,7.8,Quentin Tarantino,Quentin Tarantino,68.0,2016,United States,"English, Spanish, French, Persian",161217616.0,2 hours 48 minutes
The Hobbit: An Unexpected Journey,7.8,Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",58.0,2012,"New Zealand, United States",English,1017107150.0,2 hours 49 minutes
How to Train Your Dragon 2,7.8,Dean DeBlois,"Dean DeBlois, Cressida Cowell",77.0,2014,"United States, India",English,621537519.0,1 hour 42 minutes
Training Day,7.8,Antoine Fuqua,David Ayer,71.0,2001,United States,"English, Russian, Spanish, Korean, Greek",104876233.0,2 hours 2 minutes
Paddington 2,7.8,Paul King,"Paul King, Simon Farnaby, Michael Bond",88.0,2018,"France, United Kingdom",English,283699493.0,1 hour 43 minutes
The Irishman,7.8,Martin Scorsese,"Steven Zaillian, Charles Brandt",94.0,2019,United States,"English, Italian, Latin, Spanish, German",968853.0,3 hours 29 minutes
Skyfall,7.8,Sam Mendes,"Neal Purvis, Robert Wade, John Logan",81.0,2012,"United Kingdom, United States, Turkey, China","English, Turkish, Shanghainese, Portuguese, Japanese",1108594137.0,2 hours 23 minutes
Past Lives,7.8,Celine Song,Celine Song,94.0,2023,"United States, South Korea","Korean, English, Mandarin, French",42536130.0,1 hour 45 minutes
About Time,7.8,Richard Curtis,Richard Curtis,55.0,2019,"United States, United Kingdom",English,87100748.0,2 hours 3 minutes
Drive,7.8,Nicolas Winding Refn,"Hossein Amini, James Sallis",79.0,2011,United States,"English, Spanish",79747261.0,1 hour 40 minutes
Ghostbusters,7.8,Ivan Reitman,"Dan Aykroyd, Harold Ramis, Rick Moranis",71.0,1985,United States,English,296578797.0,1 hour 45 minutes
The Social Network,7.8,David Fincher,"Aaron Sorkin, Ben Mezrich",95.0,2010,United States,"English, French",224927749.0,2 hours
Apocalypto,7.8,Mel Gibson,"Mel Gibson, Farhad Safinia",68.0,2006,"United States, Mexico","Maya, English",120654337.0,2 hours 19 minutes
All Quiet on the Western Front,7.8,Edward Berger,"Edward Berger, Lesley Paterson, Ian Stokell",76.0,2022,"Germany, United States, United Kingdom","German, French",3253561.5,2 hours 28 minutes
The Big Short,7.8,Adam McKay,"Charles Randolph, Adam McKay, Michael Lewis",81.0,2016,United States,English,133440870.0,2 hours 10 minutes
The Girl with the Dragon Tattoo,7.8,David Fincher,"Steven Zaillian, Stieg Larsson",71.0,2014,"Sweden, United States","English, Swedish",232617430.0,2 hours 38 minutes
The Fall,7.8,Tarsem Singh,"Dan Gilroy, Nico Soultanakis, Tarsem Singh",64.0,2008,"United States, South Africa, India","English, Romanian, Latin",3983981.0,1 hour 57 minutes
Call Me by Your Name,7.8,Luca Guadagnino,"James Ivory, André Aciman",94.0,2018,"Brazil, France, Italy, United States","English, Italian, French, German, Hebrew",43368603.0,2 hours 12 minutes
Dunkirk,7.8,Christopher Nolan,Christopher Nolan,94.0,2017,"United Kingdom, Netherlands, France, United States","English, French, German",530432122.0,1 hour 46 minutes
The Breakfast Club,7.8,John Hughes,John Hughes,66.0,1986,United States,English,51525171.0,1 hour 37 minutes
Rogue One,7.8,Gareth Edwards,"Chris Weitz, Tony Gilroy, John Knoll",65.0,2016,United States,English,1058684742.0,2 hours 13 minutes
The Hobbit: The Desolation of Smaug,7.8,Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",66.0,2013,"New Zealand, United States",English,959079095.0,2 hours 41 minutes
The Bourne Identity,7.8,Doug Liman,"Tony Gilroy, William Blake Herron, Robert Ludlum",68.0,2002,"United States, Germany, Czech Republic","English, French, German, Dutch, Italian, Yoruba",214034224.0,1 hour 59 minutes
Manchester by the Sea,7.8,Kenneth Lonergan,Kenneth Lonergan,96.0,2017,United States,English,78988148.0,2 hours 17 minutes
Hot Fuzz,7.8,Edgar Wright,"Edgar Wright, Simon Pegg",81.0,2013,"United Kingdom, France",English,80581021.0,2 hours 1 minute
Coraline,7.8,Henry Selick,"Henry Selick, Neil Gaiman",80.0,2009,"United States, Austria, France, Hungary","English, Russian",185860104.0,1 hour 40 minutes
The Curious Case of Benjamin Button,7.8,David Fincher,"Eric Roth, Robin Swicord, F. Scott Fitzgerald",70.0,2009,United States,"English, Russian, French",335802786.0,2 hours 46 minutes
Predator,7.8,John McTiernan,"Jim Thomas, John Thomas",47.0,1988,"United States, Mexico","English, Spanish, Russian",98268458.0,1 hour 47 minutes
Ferris Bueller's Day Off,7.8,John Hughes,John Hughes,61.0,1986,United States,"English, German",70738901.0,1 hour 43 minutes
Society of the Snow,7.8,J.A. Bayona,"J.A. Bayona, Bernat Vilaplana, Jaime Marques",72.0,2024,Spain,Spanish,1281.0,2 hours 24 minutes
Remember the Titans,7.8,Boaz Yakin,Gregory Allen Howard,48.0,2000,United States,English,136771683.0,1 hour 53 minutes
Nightcrawler,7.8,Dan Gilroy,Dan Gilroy,76.0,2014,United States,English,47425835.0,1 hour 57 minutes
Star Wars: The Force Awakens,7.8,J.J. Abrams,"Lawrence Kasdan, J.J. Abrams, Michael Arndt",80.0,2015,"United States, United Kingdom",English,2071310218.0,2 hours 18 minutes
Puss in Boots: The Last Wish,7.8,"Joel Crawford, Januel Mercado","Paul Fisher, Tommy Swerdlow, Tom Wheeler",73.0,2023,"United States, Japan","English, Spanish",481757663.0,1 hour 42 minutes
Nosferatu,7.8,F.W. Murnau,"Bram Stoker, Henrik Galeen",78.0,1922,Germany,"German, English",45595.0,1 hour 34 minutes
The Sandlot,7.8,David Mickey Evans,"David Mickey Evans, Robert Gunter",55.0,1994,United States,English,34348443.0,1 hour 41 minutes
Seven Days in May,7.8,John Frankenheimer,"Fletcher Knebel, Charles W. Bailey II, Rod Serling",73.0,1964,United States,English,119906.5,1 hour 58 minutes
Captain America: Civil War,7.8,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon",75.0,2016,"United States, Germany","English, German, Xhosa, Russian, Romanian",1155046416.0,2 hours 27 minutes
Willy Wonka & the Chocolate Factory,7.8,Mel Stuart,"Roald Dahl, Robert Kaufman, David Seltzer",67.0,1973,"United Kingdom, United States","English, French, German, Italian",670213.0,1 hour 40 minutes
A Bronx Tale,7.8,Robert De Niro,Chazz Palminteri,80.0,1993,United States,"English, Italian",17287898.0,2 hours 1 minute
Mary Poppins,7.8,Robert Stevenson,"Bill Walsh, Don DaGradi, P.L. Travers",88.0,1965,United States,English,103125597.0,2 hours 19 minutes
Little Miss Sunshine,7.8,"Jonathan Dayton, Valerie Faris",Michael Arndt,80.0,2013,United States,English,101059571.0,1 hour 41 minutes
Back to the Future Part II,7.8,Robert Zemeckis,"Robert Zemeckis, Bob Gale",57.0,1990,United States,English,332500002.0,1 hour 48 minutes
Rise Roar Revolt,7.8,S.S. Rajamouli,"Vijayendra Prasad, S.S. Rajamouli, Sai Madhav Burra",83.0,2022,India,Telugu,166602994.0,3 hours 7 minutes
The Fugitive,7.8,Andrew Davis,"Jeb Stuart, David Twohy, Roy Huggins",87.0,2021,United States,"English, Polish, Spanish",368875760.0,2 hours 10 minutes
Misery,7.8,Rob Reiner,"Stephen King, William Goldman",75.0,1990,United States,English,61277597.0,1 hour 47 minutes
The Last Samurai,7.8,Edward Zwick,"John Logan, Edward Zwick, Marshall Herskovitz",55.0,2017,"United States, New Zealand, Japan","English, Japanese, Spanish, Danish",454627263.0,2 hours 34 minutes
Cast Away,7.8,Robert Zemeckis,William Broyles Jr.,74.0,2020,United States,"English, Russian",429632142.0,2 hours 23 minutes
The Man from Earth,7.8,Richard Schenkman,Jerome Bixby,78.0,2007,United States,English,13801271.5,1 hour 27 minutes
Glory,7.8,Edward Zwick,"Kevin Jarre, Lincoln Kirstein, Peter Burchard",78.0,1990,United States,English,26979166.0,2 hours 2 minutes
Baymax,7.8,"Don Hall, Chris Williams","Jordan Roberts, Robert L. Baird, Daniel Gerson",74.0,2014,United States,English,657870525.0,1 hour 42 minutes
Ang-ma-reul Bo-at-da,7.8,Kim Jee-woon,"Park Hoon-jung, Kim Jee-woon",67.0,2010,South Korea,Korean,12966357.0,2 hours 24 minutes
Monster,7.8,Hirokazu Koreeda,Yûji Sakamoto,79.0,2023,Japan,"Japanese, English",20564964.0,2 hours 7 minutes
The Muppet Christmas Carol,7.8,Brian Henson,"Charles Dickens, Jerry Juhl",64.0,1992,"United States, United Kingdom",English,33274029.0,1 hour 25 minutes
The Untouchables,7.8,Brian De Palma,"David Mamet, Oscar Fraley, Eliot Ness",79.0,1987,United States,English,76272360.0,1 hour 59 minutes
Captain Fantastic,7.8,Matt Ross,Matt Ross,72.0,2018,United States,"English, Esperanto, German, Chinese",23149206.0,1 hour 58 minutes
Moon,7.8,Duncan Jones,"Duncan Jones, Nathan Parker",67.0,2009,"United Kingdom, United States","English, Spanish",9760107.0,1 hour 37 minutes
Boyz N the Hood,7.8,John Singleton,John Singleton,76.0,1992,United States,English,57532703.0,1 hour 52 minutes
Straight Outta Compton,7.8,F. Gary Gray,"Jonathan Herman, Andrea Berloff, S. Leigh Savidge",72.0,2015,"United States, Japan",English,201634991.0,2 hours 27 minutes
Midnight Cowboy,7.8,John Schlesinger,"Waldo Salt, James Leo Herlihy",79.0,1969,United States,"English, Italian",44802577.0,1 hour 53 minutes
Låt den rätte komma in,7.8,Tomas Alfredson,John Ajvide Lindqvist,82.0,2008,"Sweden, Norway, France","Swedish, Spanish",11227336.0,1 hour 54 minutes
Moonrise Kingdom,7.8,Wes Anderson,"Wes Anderson, Roman Coppola",84.0,2012,United States,English,68265576.0,1 hour 34 minutes
Captain Phillips,7.8,Paul Greengrass,"Billy Ray, Richard Phillips, Stephan Talty",82.0,2013,United States,"English, Somali",218791811.0,2 hours 14 minutes
The Insider,7.8,Michael Mann,"Marie Brenner, Eric Roth, Michael Mann",85.0,1999,United States,"English, Japanese, Arabic, Persian",60289912.0,2 hours 37 minutes
