Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Ayan,7.6,K.V. Anand,"K.V. Anand, D. Suresh, A.N. Balakrishnan",76.0,2009,India,Tamil,1165247.0,2 hours 42 minutes
Rahasya,7.6,Manish Gupta,Manish Gupta,76.0,2015,India,Hindi,5707166.5,2 hours 3 minutes
Mon oncle d'Amérique,7.6,Alain Resnais,"Jean Gruault, Henri Laborit",76.0,1980,France,French,38465.0,2 hours 5 minutes
Bheja Fry,7.6,Sagar Ballary,"Sagar Ballary, Arpita Chatterjee, Sharat Katariya",76.0,2007,India,Hindi,3773555.0,1 hour 35 minutes
Earth,7.6,Deepa Mehta,"Deepa Mehta, Bapsi Sidhwa",71.0,1999,"India, Canada","Hindi, English",424798.0,1 hour 50 minutes
Train de vie,7.6,Radu Mihaileanu,Radu Mihaileanu,62.0,1998,"France, Netherlands, Israel, Belgium, Romania","French, German",3311162.0,1 hour 43 minutes
The Invisible War,7.6,Kirby Dick,"Kirby Dick, Amy Ziering, Douglas Blush",75.0,2012,"United States, France",English,71968.0,1 hour 33 minutes
Shahr-e ziba,7.6,Asghar Farhadi,Asghar Farhadi,69.0,2004,Iran,Persian,10123315.0,1 hour 38 minutes
Kedi,7.6,Ceyda Torun,"Yaman Barlas, Sari, Arzu Göl",78.0,2017,"Turkey, United States",Turkish,5037923.0,1 hour 19 minutes
Casque d'or,7.6,Jacques Becker,"Jacques Becker, Jacques Companéez, Annette Wademant",76.0,1952,France,French,1413.0,1 hour 39 minutes
Le château de ma mère,7.6,Yves Robert,"Marcel Pagnol, Jérôme Tonnerre, Yves Robert",76.0,1990,France,"French, Occitan",1477071.0,1 hour 38 minutes
Hail the Conquering Hero,7.6,Preston Sturges,Preston Sturges,76.0,1944,United States,English,2391.0,1 hour 41 minutes
Boys State,7.6,"Amanda McBaine, Jesse Moss","Ben Feinstein, Steven Garza, Robert MacDougall",84.0,2020,United States,English,25211175.0,1 hour 49 minutes
Bogowie,7.6,Lukasz Palkowski,Krzysztof Rak,76.0,2014,Poland,Polish,11960658.0,2 hours
Life in a Day,7.6,"Tegan Bukowski, Loressa Clisby, Kevin Macdonald","Hiroaki Aikawa, Cindy Baer, Teagan Bentley",58.0,2011,"United Kingdom, United States","English, Italian, Japanese, German, Spanish, Indonesian, Balinese, Portuguese, Ukrainian, Vietnamese, Catalan, Dutch, Bengali, Masai, Hindi, Arabic, Quechua, Russian",607169.0,1 hour 35 minutes
The Gatekeepers,7.6,Dror Moreh,"Ami Ayalon, Avraham Shalom, Avi Dichter",91.0,2013,"Israel, France, Belgium, Canada","Hebrew, English",2573616.0,1 hour 41 minutes
Neveroyatnye priklyucheniya italyantsev v Rossii,7.6,"Francesco Prosperi, Eldar Ryazanov","Emil Braginskiy, Franco Castellano, Giuseppe Moccia",76.0,1974,"Soviet Union, Italy",Russian,13518.0,1 hour 44 minutes
Somersault in a Coffin,7.6,Dervis Zaim,Dervis Zaim,76.0,1996,Turkey,Turkish,6296790.0,1 hour 15 minutes
O Homem que Copiava,7.6,Jorge Furtado,Jorge Furtado,49.0,2003,Brazil,Portuguese,24391.0,2 hours 3 minutes
Kabhi Haan Kabhi Naa,7.6,Kundan Shah,"Pankaj Advani, Ranjit Kapoor, Kundan Shah",76.0,1994,India,"Hindi, English",5888045.0,2 hours 38 minutes
Sarkar,7.6,Ram Gopal Varma,"Manish Gupta, Sarim Momin",76.0,2005,India,Hindi,264217.0,2 hours 4 minutes
The Filth and the Fury,7.6,Julien Temple,"Paul Cook, Steve Jones, John Lydon",82.0,2000,"United Kingdom, United States",English,612433.0,1 hour 48 minutes
Ante Sundharaniki,7.6,Vivek Athreya,Vivek Athreya,76.0,2022,India,Telugu,3097334.0,2 hours 53 minutes
Chlopaki nie placza,7.6,Olaf Lubaszenko,Mikolaj Korzynski,76.0,2000,Poland,Polish,8769825.0,1 hour 30 minutes
Psy,7.6,Wladyslaw Pasikowski,Wladyslaw Pasikowski,76.0,1992,Poland,"Polish, English, German, Russian",10555619.0,1 hour 44 minutes
Best of Enemies,7.6,"Robert Gordon, Morgan Neville","Robert Gordon, Tom Graves, Morgan Neville",77.0,2015,United States,English,892802.0,1 hour 27 minutes
Nostalgia de la luz,7.6,Patricio Guzmán,Patricio Guzmán,91.0,2010,"France, Germany, Chile, Spain","Spanish, English",410903.0,1 hour 30 minutes
Karaula,7.6,Rajko Grlic,"Rajko Grlic, Ante Tomic",76.0,2008,"Croatia, Serbia, United Kingdom, Slovenia, North Macedonia, Bosnia and Herzegovina, Hungary, Austria","Bosnian, Serbian, Croatian, Macedonian, Slovenian",11203354.0,1 hour 34 minutes
State of Siege: Temple Attack,7.6,Ken Ghosh,"William Borthwick, Simon Fantauzzo, Farhaan Salaruddin",76.0,2021,India,Hindi,7527030.0,1 hour 50 minutes
Müslüm,7.6,"Ketche, Can Ulkay","Hakan Gunday, Gürhan Özçiftçi",76.0,2018,Turkey,Turkish,13700403.0,2 hours 16 minutes
Non ci resta che piangere,7.6,"Roberto Benigni, Massimo Troisi","Roberto Benigni, Giuseppe Bertolucci, Massimo Troisi",76.0,1984,Italy,Italian,11801047.0,1 hour 53 minutes
The Pervert's Guide to Ideology,7.6,Sophie Fiennes,Slavoj Zizek,71.0,2013,"United Kingdom, Ireland",English,214313.0,2 hours 16 minutes
"What Happened, Miss Simone?",7.6,Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie",75.0,2015,United States,"English, French",5707166.5,1 hour 41 minutes
Metro Manila,7.6,Sean Ellis,"Sean Ellis, Frank E. Flowers",65.0,2013,"United Kingdom, Philippines",Tagalog,200584.0,1 hour 55 minutes
Something Useful,7.6,Pelin Esmer,"Baris Bicakci, Pelin Esmer",76.0,2017,"Turkey, France, Germany, Netherlands",Turkish,45304.0,1 hour 44 minutes
